Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"By completing this survey, you are providing consent to Elections Ontario and CNIB to use this information to evaluate the 2018 General Election with the goal of improving the voting process.",,"If you wish to disclose, which of the following best describes the severity of your sight loss?",,,,,How did you initially find out about the Ontario 2018 General Election? Please check all that apply.,,,,,,,,,,,"Was the information Elections Ontario sent to you, such as the Voting Information Cards, accessible to you?",,,,,Did you use Elections Ontario’s website to find information on the 2018 General Election?,,Did you use Elections Ontario’s website to register to vote for the 2018 General Election?,,Did you use any assistive devices or aids to read the information sent to you by Elections Ontario? Please check all that apply.,,,,,,,,,
1.10002E+11,270074150,06/19/2018 01:03:42 AM,06/19/2018 01:08:48 AM,,,,,,I consent,,,,"Significant, I can see very little",,,Friend or family member,Elections Ontario advertisement,,,,Elections Ontario Voter Information Card,Elections Ontario’s website,"News, such as TV, Newspaper, Online, Radio",Political candidate,"Social media, such as Facebook or Twitter",,,,I couldn't access any of the information,,,Yes,,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/19/2018 12:30:20 AM,06/19/2018 12:35:50 AM,,,,,,I consent,,,,,,,,,Elections Ontario brochure,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,,,,,,,,"Smartphone or tablet, without a specialized app",,
1.10002E+11,270074150,06/19/2018 12:22:29 AM,06/19/2018 12:25:04 AM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 11:11:08 PM,06/18/2018 11:29:28 PM,,,,,,I consent,,,,,"Total, I am completely blind",,Friend or family member,,,,,,,,,"Social media, such as Facebook or Twitter",,,,I couldn't access any of the information,,,Yes,,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 11:00:58 PM,06/18/2018 11:30:59 PM,,,,,,I consent,,,,,"Total, I am completely blind",,,Elections Ontario advertisement,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,,I couldn't access any of the information,,,Yes,,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 10:17:19 PM,06/18/2018 10:25:30 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,Elections Ontario Voter Information Card,,,Political candidate,,,Yes I could access all of the information,,,,,,No,,No,,,Handheld video magnifier,,,,,,,
1.10002E+11,270074150,06/18/2018 09:51:55 PM,06/18/2018 09:59:12 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,Elections Ontario brochure,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,I did not require any assistive devices or aids,,,,,,,,,
1.10002E+11,270074150,06/18/2018 09:46:37 PM,06/18/2018 10:01:49 PM,,,,,,I consent,,,,,,It varies depending on the environment I'm in,,,Elections Ontario brochure,,"Elections Ontario public event, such as on campus or in the community",,,,Political candidate,"Social media, such as Facebook or Twitter",,,I could access some of the information,,,,,No,,No,I did not require any assistive devices or aids,,,,,,,,,My wife and I voted together so there wasn't an issue.
1.10002E+11,270074150,06/18/2018 09:36:54 PM,06/18/2018 09:37:04 PM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 09:33:43 PM,06/18/2018 09:45:31 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,Elections Ontario Voter Information Card,,,,,,Yes I could access all of the information,,,,,,No,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 09:29:31 PM,06/18/2018 09:48:00 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,"Social media, such as Facebook or Twitter",,,I could access some of the information,,,,Yes,,Yes,,I did not require any assistive devices or aids,,,,,,,,,
1.10002E+11,270074150,06/18/2018 09:18:55 PM,06/18/2018 09:19:10 PM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 09:18:12 PM,06/18/2018 09:26:03 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,Elections Ontario Voter Information Card,,,,,,,I could access some of the information,,,,,No,,No,,,,Handheld magnifier that was not a video device,,,,,,
1.10002E+11,270074150,06/18/2018 09:16:21 PM,06/18/2018 09:21:49 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,,,,,,,,,,CNIB,,I could access some of the information,,,,Yes,,,No,,,,,,,,"Smartphone or tablet, without a specialized app",Someone read the material to me,
1.10002E+11,270074150,06/18/2018 09:13:33 PM,06/18/2018 09:40:40 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,,I couldn't access any of the information,,,Yes,,,No,,CCTV,,,,,,,,
1.10002E+11,270074150,06/18/2018 09:12:37 PM,06/18/2018 09:12:53 PM,,,,,,,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 09:08:57 PM,06/18/2018 09:30:30 PM,,,,,,I consent,,,,,"Total, I am completely blind",,,Elections Ontario advertisement,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",Political candidate,,,,,I couldn't access any of the information,,,,No,,No,,,,,,,,,,Kurzweil Scaqnner
1.10002E+11,270074150,06/18/2018 09:06:56 PM,06/18/2018 09:18:37 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,,,,I'm not aware I received any information,,No,,No,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 08:58:40 PM,06/18/2018 08:59:58 PM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 08:54:51 PM,06/18/2018 08:55:16 PM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 08:38:19 PM,06/18/2018 09:30:19 PM,,,,,,I consent,,,,,"Total, I am completely blind",,Friend or family member,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,,I couldn't access any of the information,,,Yes,,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 08:29:23 PM,06/18/2018 08:34:59 PM,,,,,,I consent,,,,"Significant, I can see very little",,,Friend or family member,,,,,,,,,"Social media, such as Facebook or Twitter",,,,I couldn't access any of the information,,,,No,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 08:29:33 PM,06/18/2018 08:40:30 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,Elections Ontario advertisement,Elections Ontario brochure,,,,,"News, such as TV, Newspaper, Online, Radio",Political candidate,,,,,,I didn’t receive any information,,,No,,No,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 08:25:36 PM,06/18/2018 08:38:11 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,"Social media, such as Facebook or Twitter",,,,I couldn't access any of the information,,,,No,,No,,CCTV,,,,,,,,
1.10002E+11,270074150,06/18/2018 08:25:31 PM,06/18/2018 08:29:12 PM,,,,,,I consent,,"Mild, I have most of my vision",,,,,Friend or family member,Elections Ontario advertisement,Elections Ontario brochure,,"Elections Ontario public event, such as on campus or in the community",,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,I did not require any assistive devices or aids,,,,,,,,,
1.10002E+11,270074150,06/18/2018 08:19:22 PM,06/18/2018 08:26:18 PM,,,,,,I consent,,,,,,,,,,,,Elections Ontario Voter Information Card,,,,,,Yes I could access all of the information,,,,,,No,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 07:59:54 PM,06/18/2018 08:00:13 PM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:54:43 PM,06/18/2018 07:59:21 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,,I could access some of the information,,,,,No,,No,,,,Handheld magnifier that was not a video device,,,,,,
1.10002E+11,270074150,06/18/2018 07:52:13 PM,06/18/2018 07:59:06 PM,,,,,,I consent,,"Mild, I have most of my vision",,,,,,,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,I did not require any assistive devices or aids,,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:51:01 PM,06/18/2018 08:01:02 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,,,,I'm not aware I received any information,Yes,,,No,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:44:13 PM,06/18/2018 07:54:32 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,Elections Ontario brochure,,,,,,,,,,I could access some of the information,,,,,No,,No,,,,,,,,,,Bifocal glasses 
1.10002E+11,270074150,06/18/2018 07:41:10 PM,06/18/2018 08:53:26 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,Elections Ontario advertisement,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,,CCTV,,Handheld magnifier that was not a video device,,,,,,
1.10002E+11,270074150,06/18/2018 07:42:10 PM,06/18/2018 08:52:50 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,Yes,,,No,,CCTV,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:39:19 PM,06/18/2018 07:53:24 PM,,,,,,I consent,,,,,"Total, I am completely blind",,Friend or family member,Elections Ontario advertisement,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",Political candidate,,,,I could access some of the information,,,,,No,,No,,,,,,,"Smartphone or tablet app, such as KNFB Reader or Seeing AI",,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 07:36:49 PM,06/18/2018 07:49:42 PM,,,,,,I consent,,"Mild, I have most of my vision",,,,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,,,,,,,,,,Glasses with magnifier in them 
1.10002E+11,270074150,06/18/2018 07:25:10 PM,06/18/2018 07:28:01 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,I could access some of the information,,,,Yes,,Yes,,,,,Handheld magnifier that was not a video device,,,"Smartphone or tablet app, such as KNFB Reader or Seeing AI",,,
1.10002E+11,270074150,06/18/2018 07:13:24 PM,06/18/2018 09:25:53 PM,,,,,,I consent,,,,,,It varies depending on the environment I'm in,,Elections Ontario advertisement,Elections Ontario brochure,,,,,"News, such as TV, Newspaper, Online, Radio",Political candidate,,,Yes I could access all of the information,,,,,,No,,No,,CCTV,,Handheld magnifier that was not a video device,,,,,,
1.10002E+11,270074150,06/18/2018 07:12:22 PM,06/18/2018 07:18:10 PM,,,,,,I consent,,,,"Significant, I can see very little",,,Friend or family member,,,,,,,,,,,,,I couldn't access any of the information,,,Yes,,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 07:11:08 PM,06/18/2018 07:23:28 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,Friend or family member,Elections Ontario advertisement,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,"Social media, such as Facebook or Twitter",,Yes I could access all of the information,,,,,,No,,No,,CCTV,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:11:25 PM,06/18/2018 07:11:38 PM,,,,,,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:08:01 PM,06/18/2018 07:26:03 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,Elections Ontario advertisement,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,,,I couldn't access any of the information,,,,No,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 07:07:32 PM,06/18/2018 07:11:22 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,,I could access some of the information,,,,,No,,No,,,Handheld video magnifier,,,,,,,
1.10002E+11,270074150,06/18/2018 07:06:05 PM,06/18/2018 07:14:48 PM,,,,,,I consent,,,,"Significant, I can see very little",,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",Political candidate,,BEING  ALERT TO CURRENT EVENTS & NEWS!,Yes I could access all of the information,,,,,,No,,No,,,,Handheld magnifier that was not a video device,,,,,Someone read the material to me,
1.10002E+11,270074150,06/18/2018 07:01:34 PM,06/18/2018 07:07:41 PM,,,,,,I consent,,"Mild, I have most of my vision",,,,,,,,,,,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,Yes,,,No,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 07:01:19 PM,06/18/2018 07:01:53 PM,,,,,,,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 06:51:15 PM,06/18/2018 06:59:51 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,Friend or family member,Elections Ontario advertisement,,,,,,"News, such as TV, Newspaper, Online, Radio",,"Social media, such as Facebook or Twitter",,,,,I didn’t receive any information,,Yes,,Yes,,,,,,,,,,,
1.10002E+11,270074150,06/18/2018 06:39:57 PM,06/18/2018 07:07:44 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,,,I couldn't access any of the information,,,,No,,No,,,,,,,,,,A sighted person had to read it to me.
1.10002E+11,270074150,06/18/2018 06:32:13 PM,06/18/2018 07:05:30 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,Elections Ontario advertisement,Elections Ontario brochure,"Elections Ontario information at a community centre, library, or shelter",,Elections Ontario Voter Information Card,Elections Ontario’s website,"News, such as TV, Newspaper, Online, Radio",Political candidate,"Social media, such as Facebook or Twitter",,Yes I could access all of the information,,,,,Yes,,,No,I did not require any assistive devices or aids,,,,,,,,,
1.10002E+11,270074150,06/18/2018 06:02:14 PM,06/18/2018 06:10:30 PM,,,,,,I consent,,,,,,It varies depending on the environment I'm in,Friend or family member,Elections Ontario advertisement,Elections Ontario brochure,"Elections Ontario information at a community centre, library, or shelter","Elections Ontario public event, such as on campus or in the community",Elections Ontario Voter Information Card,Elections Ontario’s website,"News, such as TV, Newspaper, Online, Radio",Political candidate,"Social media, such as Facebook or Twitter",,,,I couldn't access any of the information,,,Yes,,,No,,,,,,,,"Smartphone or tablet, without a specialized app",,
